,Tweet,len,metrics,source
0,"finally watched Joker today and people really overreacted like shit, it wasn’t an incel movie and it wasn’t anything groundbreaking or even particularly edgy until the last ten minutes.",185,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",Twitter for iPhone
1,"Or, you write it off as one big delusion of Arthur's, which is kind of a more mature version of ""it was all a dream"", but that's a big cop out isn't it?

Getting the same take away that I had of Dark Knight where The Joker's portrayal was brilliant, but the movie is overrated. https://t.co/ISxDTHCVVy",301,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",TweetDeck
2,"This movie 10/10 but I’ll never understand how Harvey Dent didn’t recognize it was joker behind that mask, even with the makeup 😂😂😂 https://t.co/yIWP3fneIr",155,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter for iPhone
3,"Just watched Joker.

I didn't find it to be very realistic.  A lot of reason for what he became kind of defeats the purpose of what The Joker is about, and it's one movie's interpretation so fair enough, but it makes me think of how Batman would work giving Joker sympathy.",273,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",TweetDeck
4,"@BurstAngel15 Honestly I would love to see a movie with her that's like a horror movie with her torturing people I've always wanted that with Harley or Joker

I really fell in love with her after playing the Batman Arkham City DLC that was amazing",247,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",Twitter for Android
5,That Joker movie stinks but quoted pics with no words make me like it a lil more,80,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
6,@PerfectlyShots Joker movie,27,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
7,"i would love to see a Joker and Harley Quinn movie!
 https://t.co/UrmSA2h4I4",76,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
8,@clevezirm @cwmwrites Unless you go see Joker. I was ill prepared for that solo trip movie.,91,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 10, 'quote_count': 0}",Twitter for iPhone
9,@kws017013 Yeah. There was something missing from that one. A Batman movie needs the Joker.,91,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App
10,Justice League: Jared Leto's Joker Wasn't Originally Part of the Snyder Cut https://t.co/81b0TZhZnT,99,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",dlvr.it
11,"@CholeraFan Reverse of that is the dark knight. You are led to believe the joker is the bad guy but he destroys the mob, crooked police and common criminals in the end. Something batman couldnt do. The next movie is years later and crime is almost non existent.",261,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
12,"JUSTICE LEAGUE: JARED LETO'S JOKER wasn't originally part of the SNYDER CUT:

https://t.co/Q9hdwa2HaT https://t.co/dh7gIJ91zH",125,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 24, 'quote_count': 5}",TweetDeck
13,"#JusticeLeague helmer Zack Snyder says Jared Leto's #Joker wasn't originally part of the #SnyderCut.

https://t.co/TgHUhND7IS https://t.co/7p9Iko6iqJ",149,"{'retweet_count': 17, 'reply_count': 9, 'like_count': 161, 'quote_count': 8}",TweetDeck
14,"@IGN Fincher sounds pretty bitter here (granted, he could have been speaking light-heartedly, it just seems that way in print). He's like 'shit, I did movies like Joker and they didn't make dollar, screw you'. The fact is, if Fincher HAD make a Joker movie it WOULD have been huge.",281,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
15,"My professor once compared me to the joker from the 2019 movie in front of the whole class, AND THEY AGREED, and i have never felt the power of Satan flood my body and soul more than i did there how dare they",208,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter for Android
16,@_emptymoment Joker good movie 😀,32,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
17,"@Tomathius I'm certainly not counting on it, but I could see something similar to how Terry and Joker were revealed: The animated ""movie"" part of the trailer and a release date, and then the full trailer during a presentation closer to release.",244,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App
18,no because “the joker” is a movie i could talk about for hours,62,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
19,@lovesickhrry or the joker movie the new one,44,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
20,📷 jokin-around: forested-resonance: jokin-around: When your favorite character is the Joker But Not That Version Incel flavored? Rancid vibes? It was literally a movie about how tensions between economic classes build up and what can happen... https://t.co/tCp7luCvrg,267,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Tumblr
21,This is the 5th time I have watched Joker and I just realized the comedian on stage while Jaoquin Phoenix is taking notes is Gary Gullman and that roleplay joke he was telling in the movie is actually part of his act from years ago. Fucking love this movie.,257,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
22,"@Chadlikecomrade @FB_BMB I just find it annoying that the fart sniffers who say I am an uncultured brute for repudiating Cuties and helped shoot it to an 86% rating on RT also cried bloody murder on Joker for ""being a movie for INCELS"" and knocked that one down to a 68%.

Hypocrites each and every one",302,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter Web App
23,No I think the dark Knight and that joker hype has made way more fans and probably did help the popularity more of the joker movie with a new actor.,148,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
24,"Everybody's favorite Fincher movie

Joker https://t.co/A7EzXoLWz3",65,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
25,@DiscussingFilm The movie shows how the system failed Joker tho. I think it’s more commentary on the systemic neglect towards the mentally ill but I don’t think the film was attempting to portray mental illness as inherently dangerous and unstable IMO,251,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
26,"@oceangrl90 I'm watching ""Joker"" with Drew, strange movie",57,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android
27,We agree with director David Fincher that “The Joker” movie is full of misconceptions about mental illness. https://t.co/7eYkY3SVXT,131,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 25, 'quote_count': 4}",Sprinklr Publisher
28,"People watch the joker, don't like it, and just pull the""it's an incel movie xD""",80,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
29,"Joker Was A Betrayal of the Mentally Ill, Says David Fincher https://t.co/ZqY9D5SxgX",84,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Paper.li
30,"""So Joker 2019 is a movie made for incels😂"", no bitch it's a movie that shows how the rich screw the working class when it comes to crime, mental illness, etc.",159,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter for Android
31,"I've been very vocal that the joker movie is bad outside of Phoenix performance. 

It's just a shitty version of a 70s scorsese movie",133,"{'retweet_count': 1, 'reply_count': 6, 'like_count': 14, 'quote_count': 1}",Twitter for Android
32,"@IGN There were 3 Joker directors. Fincher, Guy Ritchie and the guy who directed that shitty Dukes of Hazard movie with Britney Spears",134,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
33,The thought of a David Fincher Joker movie is making me laugh https://t.co/giImUVVvlh,85,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter Web App
