,Tweet,len,metrics,source
0,joker sequel to glenngary ross movie,36,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",Twitter for iPhone
1,"28. If you become a creature other than humans, what do you want to become?
A: dog.

29. how are the lyrics written?
A: it suddenly occurred to me that I would use a mobile phone, or a computer for prose.

30. what movie did you watch recently?
A: joker the clown.",264,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for Android
2,@WillColesy @IGN the movie would never have been this successful without the joker name,87,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter Web App
3,"@VDarknessF Hexagon honey comb referencing the matrix overlay? Or frequency distortion running throughout the world? The grid background is frequent in Alice and Wonderland and the new 
Joker movie among many. It's symbolic of the prison we are unknowingly in.",260,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for Android
4,Birds of prey is just as corny as suicide squad the ONLY UN CORNY CHARACTERS WERE HARLEY QUINN AND THE JOKER THATS ALL I FUCKING WANTED WHY CANT I HAVE A MOVIE OF JUST THEM,172,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",Twitter for iPhone
5,finally got around to watching joker... i hate this movie lmao,62,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone
6,"@dgjaden someone: watching a joker movie 
jaden: [wakes up in cold sweat] something is wrong",92,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
7,Love how #Joker movie made Thomas Wayne the way he was JUST to show how corrupt a certain... business... leader... country dude is... 🙃,135,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
8,@CinemaClown My all time favourite comic movie from marvel is Logan my all time favourite dc movie one of my all time favourite movies ever is joker,148,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
9,"I do not know what his joker will look like in the actual movie. 

It's just a concept I came up with for fun of how I would design a knightmare version of joker. But yah. Making fun of artists is so super cool now days. https://t.co/NG0CaNAX9k",244,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 11, 'quote_count': 0}",Twitter for Android
10,"@ColdBloodedJoke Relax bro! I know it's a fanart. 
I made a simple and innocent joke that he looks like Billie Eilish more than the Joker . They call everything harasse now? We are on the same side, we both want the movie and we are fans of Zack. 👍✌️",250,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
