Unnamed: 0,Tweet,len,metrics,source
0,i   e n j o y   j o k e r   s l a n d e r   s i n c   a w   m o v i,39,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
1,w h i   s e r i o u   f a m o u   l i n e   m o v i   t h e   d a r k   k n i g h t   s p o k e n   v i l l a i n   j o k e r   k e r e m b u r s i n   h t t p   c o   8 t q r x l 8 r y y,101,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
2,b e t t e r   u n i t   n   m o v i   r e l e a s   h e l l   q u e s t i o n   t r u t h   m y t h   m i l l i o n   d e v o t e   n   a n c e s t o r   r   f o o l   b e l i e v   r a m s e t u   j o k e r   c a n a d i a n   g o n n a   r e s e a r c h   u r   h i s t o r i   s t u p i d   a k s h a y   u h   r   c r o s s   u r   l i m i t,186,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
3,t h i   f i l m   m e n t a l   i l l   j o k e r   b i p o l a r   a n y w a y   c o m i c   n o   m o v i   j o k e r   e v e r   s u f f e r   m e n t a l   i l l   a r t h u r   s u f f e r   d e p r e s s   g r e a t   s t o r i   m e n t i o n   s u f f e r   p s e u d o b u l b a r   a f f e c t   c o n d i t   i l l,189,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App
4,t h i   h i t   c l o s e   h o m e   l i k e   m o v i   b o b   j o k e r,40,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
5,i d k   m a n   t h o u g h t   j o k e r   r e a l l i   c o o l   w i s h   e n d   c a r   s c e n e   r e a l l i   g e t   f e e l   e n d   a p a r t   v   n i c e   m o v i   p e o p l   m e a n,110,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
6,d a v i d   f i n c h e r   s a y   j o k e r   m o v i   b e t r a y   m e n t a l   i l l   a c c o r d   i n t e r v i e w   t e l e g r a p h   h t t p   c o   u t u e 6 9 e 5 l j,102,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
7,i   t h i n k   j o k e r   c h a r a c t   s t u d i   c o m i c   b o o k   m o v i,46,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
8,h e   s h o u l d a   s p a c e   t a k e   b e t t e r   h e l l   i   c o u l d   g o t t e n   b o a r d   j o k e r   t a k e   p r e t t i   q u e s t i o n   m a k e   y e t   a n o t h   m o v i   s o m e o n   s c h i z o p h r e n i a   b e c o m   v i o l e n t   k i l l e r,156,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twidere for Android
9,i   m e a n   y e a h   j o k e r   p o t r e t a y   m e n t a l   i l l   r e a l l i   i n a c c u r   b u t   a n y o n   e x p e c t   j o k e r   l e g i t   p o t r a y e l   m e n t a l   i l l   r e g a r d l e s s   g r o u n d   t r i   s a y   s t i l l   c o m i c   b o o m   m o v i   h t t p   c o   r q e u t g 5 m q l,188,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter for Android
